問題,可能原因,簡易故障排除,所屬類別
帳整(腳踏車票、現金繳款單)系統異常、無法列印，怎麼辦？,"驅動程式異常  
USB線鬆脫  
USB線材故障",請洽AFC處理,其他
印表機A6表單無法列印，怎麼辦？,"驅動程式異常  
USB線鬆脫  
USB線材故障",帳整(PAM)要從PAM列印，如果從OA電腦可以列印，則需洽AFC處理,其他
車站票卡查詢機（EQM）異常，怎麼辦？,設備故障,請洽AFC處理,其他
車站票証房的多媒體機櫃異常(含UPS)，怎麼辦？,設備故障,請洽19#2214 行二組,其他
公司的NVR、DVR異常，怎麼辦？,監控設備故障,請洽通訊處理,其他
我的廠商工商憑證簽認平台-簽章元件無法執行，致無法登入，怎麼辦？,元件未安裝,請至 業務文件下載中心->行政處->新公文系統->下載 公文簽章元件、TaipeiON_TCGServiSign 進行安裝,其他
帳整(腳踏車票、現金繳款單)無法列印，怎麼辦？,"驅動程式異常  
USB線鬆脫  
USB線材故障",請user自行測試OA電腦列印是否正常?若OA電腦列印異常報修EFMS工單，若OA電腦列印正常請洽AFC處理,其他
主詢問處電腦開立送診單時，資料無法下載，怎麼辦？,瀏覽器edge相容性未設定或30天到期未加回,"edge 內設定預設瀏器的網頁只有一個月,請在右上角‧‧‧圖型-設定-預設瀏器--第一項選允許--第二項ie模式頁面新增網址 例如:.http://portal.trtc.com.tw/",其他
詢問處電腦 PAM軟體票卡資料皆無法上傳遺失物系統，怎麼辦？,瀏覽器edge相容性未設定或30天到期未加回,"edge 內設定預設瀏器的網頁只有一個月,請在右上角‧‧‧圖型-設定-預設瀏器--第一項選允許--第二項ie模式頁面新增網址 例如:.http://portal.trtc.com.tw/",其他
我的公務手機(Samsung A33)掃描Beacon延遲問題，怎麼辦？,"藍芽裝置未開啟   
手機韌體未更新",藍芽功能有無開啟。 ->Samsung更新最新版軟體，更新位置位於「設定」->「軟體更新」->「下載並安裝」 ->重新開機-> 如有差勤APP使用問題請洽本處承辦人莊沛綸(分機10#8132)。,其他
我想知道手機與iPAD取消隨機MAC設定(iPhone的iOS系統)步驟,行動裝置設定錯誤,於「設定」下點選「Wi-Fi」選項->找到公司的無線網路trtc_wireless_m點選右邊的「i」->「專用位址」為開啟，請關閉，即綠色部份消失 ->完成設定，請重新連接無線網路,其他
我想知道手機與平板取消隨機MAC設定(Android系統)步驟，以Samsung S21為例,行動裝置設定錯誤,於設定下進入「Wi-Fi」設定，點選…進入進階設定->點選「進階」->點選「管理網路」->找到公司的無線網路trtc_wireless_m->點選「進階」->將「隨機化MAC」改為「手機MAC」->完成設定，重新連接無線網路,其他
我更換公務手機，想知道提供VPN的GA認證碼(6位數密碼)移轉至新手機操作步驟,行動裝置更換資料需轉移,開啟「Google Authenticator」APP。->點選右上角的三個點，會出現相關選單，請點選「轉移帳戶」->在「轉移帳戶」畫面，請點選「匯出 帳戶」->在「選取帳戶」畫面，選取要匯出的帳戶->畫面出現的即為舊手機的 GA 碼，請使用新手機安裝「Google Authenticator」APP 後， 開啟 APP 並掃描 QR CODE，即完成 GA 的帳戶移轉。,其他
我無法上網了。,"網路線鬆脫。
網路設定錯誤。
","請檢查您的網路連線是否正常;請嘗試將電腦重新啟動
",網路
車站的中山站電子白板無法正常顯示，怎麼辦？,"電源異常  
線材鬆脫  
程式異常",設備問題報?EFMS通知通訊處理 程式問題請電洽10#8140網路組蕭昱威,網路
我想申請新的ip或是ip異動，怎麼辦？,"職務異動  
設備移交 ",須至行政電腦IP/MAC填寫申請單，如需詢問請電洽10#8174設備組邵翔麟,網路
車站的Taipei-Free無法使用，怎麼辦？,"行動裝置未開啟無線  
無線AP故障",公司各場域之Taipei Free服務維護為台灣智慧光網股份有限公司報修方式：於EFMS系統「非本公司自有或代管設備報修處理」登錄故障資訊並撥打免付費專線報修，免付費專線為0809-031-081。如有任何疑問，請逕洽本處數位科技維運中心 網路組：黃昭揚（分機10-8154）。,網路
無法安裝行動裝置差勤系統,行動裝置未開啟權限,至業務文件下載中心\數發處\12. 差勤App下載使用方式 ：提供QRcode掃描後即自動下載安裝 如有操作相關問題，請洽詢資訊處莊沛綸(10#8132),應用系統
我的手機打卡程式無法連線至beacon，怎麼辦？,"差勤APP異常。  
接收裝置異常","若需裝程式至業務文件下載-數發處-16差勤qpp下戴使用方式,專人請電洽10#8140網路組蕭昱威",應用系統
我的遺失物系統無法帶出卡片資訊，怎麼辦？,瀏覽器edge相容性未設定或30天到期未加回,此為相容性問題請前往網頁右上角設定->預設瀏覽器->允許在 Internet Explorer模式中重新載入網站 (IE 模式)-選允許Internet Explorer 模式頁面---新增-http://portal.trtc.com.tw/ 以後遺失物系統請由portal 入口網站進入，此功能30天後須重新設定。,應用系統
我的遺失物系統無法顯示條碼，怎麼辦？,瀏覽器edge相容性未設定或30天到期未加回,此為相容性問題請前往網頁右上角設定->預設瀏覽器->允許在 Internet Explorer模式中重新載入網站 (IE 模式)-選允許Internet Explorer 模式頁面---新增-http://portal.trtc.com.tw/ 以後遺失物系統請由portal 入口網站進入，此功能30天後須重新設定。,應用系統
pam票卡資料無法傳輸，無法帶入遺失物系統，怎麼辦？,瀏覽器edge相容性未設定或30天到期未加回,此為相容性問題請前往網頁右上角設定->預設瀏覽器->允許在 Internet Explorer模式中重新載入網站 (IE 模式)-選允許Internet Explorer 模式頁面---新增-http://portal.trtc.com.tw/ 以後遺失物系統請由portal 入口網站進入，此功能30天後須重新設定。,應用系統
我在客服系統中無法下載送診證明單進行列印，怎麼辦？,瀏覽器edge相容性未設定或30天到期未加回,此為相容性問題請前往網頁右上角設定->預設瀏覽器->允許在 Internet Explorer模式中重新載入網站 (IE 模式)-選允許Internet Explorer 模式頁面---新增-http://portal.trtc.com.tw/ 以後遺失物系統請由portal 入口網站進入，此功能30天後須重新設定。,應用系統
行動檢修平台顯示下載資料異常，怎麼辦？,"檢查行動裝置無線是否未開啟  
PC端AppSync版本未更新",請電洽10#8119營運維修組黃亞群,應用系統
公司應用系統入口網站的部分連結無法直接開啟，怎麼辦？,"網址錯誤  
部分連結需使用Chrome開啟",請先確認網址是-http://portal.trtc.com.tw/ .有些人是用-http://portal/,應用系統
進出管制系統ACS網頁資料無法手動輸入或資料顯示異常，怎麼辦？,電腦輸入法切換錯誤,人員進場刷卡出現中文亂碼，請使用者重新切換輸入法為英文，再請人員重新刷卡進場。,應用系統
我在Edge開啟系統網頁(OA、ACS等)無法切換帳號，怎麼辦？,Edge之網網際網路選項未設定,在左下方放大鏡輸入關鍵字「網際網路選項」選擇安全性頁籤>近端內部網路>選自訂等級>下拉右邊拉bar>看到使用者驗證>勾選提示輸入使用者名稱及密碼>按下確定，重開啟遊覽器，即可,應用系統
我的差勤系統出現「無法連上這個網站」，怎麼辦？  差勤系統出現「無法連上這個網站」,"開啟錯誤的瀏覽器  
瀏覽器歷史記錄",點選chrome瀏覽器右上角的三個點->選擇設定->左邊項目選擇「隱私權和安全性」。->中間項目選「清除瀏覽資料」->頁籤選到「基本」，時間範圍選擇「不限時間」，並將三個選項都勾選，然後點選清除資料-> 清除完畢之後重新開啟瀏覽器即可正常使用。,應用系統
我的網頁點選「知識管理系統」發生錯誤 重新導向次數過多訊息，怎麼辦？,"開啟錯誤的瀏覽器  
瀏覽器歷史記錄",在Edge瀏覽器的右上方「…」中選擇「設定」->左邊選擇「隱私權和安全性」功能，再點選清除瀏覽資料 ->點選進階頁籤，時間範圍選不限 時間，藍勾勾選「瀏覽記錄」「下載記錄」「Cookie和其他網站資料」「快取圖片和檔案」後，點選「清除資料」->全部chrome都關掉，重新打開chrome瀏覽器->檢查chrome 之portal網址是否為完整網址「portal.trtc.com.tw」 (注意！如僅有portal/，請修改完整網址才可正常進入),應用系統
車站的EMDS顯示異常，怎麼辦？,電視故障,請洽19#2214 行二組,行控電腦相關
車站地震儀GDS異常，怎麼辦？,地震儀故障,請洽19#2214 行二組,行控電腦相關
防毒軟體無法更新病毒碼,防毒軟體異常,重新安裝軟體，可上EFMS報修,防毒
防毒軟體申請安裝,"新設設備  
系統重灌",須填寫申請單，如需詢問請電洽10#8785設備組邱玉慧,防毒
已公布之公告要如何下架?,公告下架功能僅簽核主管可使用,主管點選「公告下架」後，訊息頁會顯示所有該主管簽核決行之公告。若有需要將該公告下架，可點選公告後並確認內容後，點選「公告下架」即可下架。※注意！公告下架後將無法還原。,OA公告FAQs
新增公告之如何傳送訊息?,步驟操作錯誤,1.進到公佈欄系統點選左上角「新增公告」按鈕進行發布公告2.發布公告功能可選擇發布公告或傳送訊息，並輸公告相關資料，本說明以傳送訊息方式為例，進行訊息發布。3.公告類別依所欲傳送的訊息屬性，除了「職福會工會公告」及「公文抄文」有限制授權單位外，其他皆開放選擇 。4.依同仁需求選擇「公布日期」，系統依公布日期發送。5.依同仁需求選擇「有效日期」，系統將依有效日期將公告進行撤消，如需選擇下個月，請按月曆上方的箭頭，下一年請按雙箭頭。6.輸入主旨後，同仁可於公告內容中插入 WORD 共通的段落或表格，讓同仁使用時更容易表示公告內容資訊。7.輸入完成後按下「送出」按鈕，會提醒使用者確定完成是否要送出資料。8.按下確定後即完成以傳送訊息方式公告作業。,新OA公布欄系統操作說明
新增公告之如何發布公告,步驟操作錯誤,1.發布公告功能可選擇發布公告或傳送訊息，並輸公告相關資料，本說明以發布公告方式為例，進行訊息發布作業。2.發布公告需進行簽核，依簽核層級，需選擇一級或二級單位主管，選擇一級單位主管可對全公司或特殊群組進行發布公告，若為二級單位主管，儘可對處室內同仁及處室內群組進行發布公告。3.選擇簽核層級後，選擇「公告型態」，有「同處室」及「跨處室」，當簽核層級選擇「一級單位主管」，公告型態選擇「跨處室」時，公告對象可選擇「跨處室人員」、「跨處室的特殊群組」進行發布公告。4.公告類別依所欲傳送的訊息屬性，除了「職福會工會公告」及「公文抄文」有限制授權單位外，其他皆開放選擇 。5.依同仁需求選擇「公布日期」，系統依公布日期發送。6.依同仁需求選擇「有效日期」，系統將依有效日期將公告進行撤消，如需選擇下個月，請按月曆上方的箭頭，下一年，請按雙箭頭。7.依同仁處室選擇其簽核主管。8.輸入完成後按下「送出」按鈕，會提醒使用者確定完成是否要送出資料。9.按下確定後於公告區即出現公告簽核紀錄，送陳至簽核主管進行簽核，同仁可點選簽核紀錄，查閱目前簽核情形。,新OA公布欄系統操作說明
轉呈,步驟操作錯誤,1.開啟某一份公告，發現某位同仁未在公告對象中，可以點選「轉呈」功能 ，轉呈出去。2.進入「轉呈」功能後，首先點選「轉呈對象」，選擇對象後按確定帶回「轉呈」功能畫面。3.接著填寫「轉呈原因」，填寫完畢即可按左上角的「確定轉呈」。4.系統將提示是否確定轉呈，按「確定」即可完成轉呈。,新OA公布欄系統操作說明
再公告之訊息,步驟操作錯誤,1.再公告功能以使用者收到的公告後再進行簽核公告或再次發送訊息給相關承辦人，先按下「再公告」按鈕。本說明再公告方式以「傳送訊息」進行，點選「傳送訊息」按鈕以傳送訊息方式進行公告作業。2.再公告以傳送訊息方式公告不需經過簽核流程，系統會自動將主旨中加入「再公告」 ，輸入修改完成相關公告資料後即可按下「送出」按鈕，系統會提醒使用者是否確定完成要送出資料。3.按下確定後即完成傳送。,新OA公布欄系統操作說明
再公告之公告,步驟操作錯誤,1.點選「發布公告」按鈕，系統於主旨再加入 「再公告：」提醒同仁此為再公告，同仁依原公告修改輸入相關再公告資料，操作步驟可依新增公告操作步驟進行，輸入完成後，以發布公告方式進行再公告作業。2.輸入完成後按下「送出」 按鈕，系統會提醒使用者確定完成要送出資料。3.按下確定後即完成公告。,新OA公布欄系統操作說明
另存公告,步驟操作錯誤,1.進入公告後，點選左上角「另存公告」功能2.系統將開啟新視窗，以 PDF 格式顯示公告內容3.可以點選瀏覽器工具列中「檔案」裡的「另存新檔」選項，即可將公告以 PDF 格式儲存於個人電腦之中。,新OA公布欄系統操作說明
系統畫面說明,不知道系統畫面有哪些功能,系統功能畫面分為左側的「功能選單」以及「訊息頁」兩個部分。「功能選單」部分提供選取功能，另「訊息頁」部分可顯示訊息內容。「功能選單」可分為一般使用者操作功能，共有「公中」、「草稿」、「我的公告」以及「垃圾桶」等 4 種功能。另「系統管理部分」則提供「公告下架」功能供簽核主管操作使用。,新OA公布欄系統操作說明
公告中之操作說明,步驟操作錯誤,進入系統後預設的顯示畫面即為「公告中」畫面，另使用者可點選功能選單中「公告中」進入畫面。本功能顯示公告及訊息。畫面左上角提供三個功能按鈕，分別為「全部選取」、「刪除」以及「新增公告」功能。使用者可以透過點選「全部選取」或點選各公告前方「選取方塊」後，點選「刪除」按鈕將不需要之公告移至垃圾桶，移至垃圾桶之公告仍可查閱，且亦會於公告到期後刪除。另使用者可點選「新增公告」撰寫公告。,新OA公布欄系統操作說明
草稿;撰寫公告時點選畫面左上方「儲存離開」連結，撰寫中的公告不見了,公告儲存於「草稿」區,使用者可於功能選單點選「草稿」進入後，繼續編輯公告。,新OA公布欄系統操作說明
垃圾桶,無,使用者可以點選「垃圾桶」查詢先前刪除之公告。使用者可點選公告查詢內容，且公告仍會至公告到期後刪除。,新OA公布欄系統操作說明
差勤app Android下載及安裝方式,步驟操作錯誤,1.到「差勤app下載安裝說明」pdf檔掃取QRCode2.開啟網址後彈出下載視窗3.下載完成後啟動APK並安裝即可,差勤app下載安裝說明
差勤app Android權限設定,步驟操作錯誤,1.長按差勤app應用程式後點按右上角驚嘆號2.點按權限3.點按「鄰近裝置」4.點按「允許」,差勤app下載安裝說明
差勤app IOS下載安裝及信任設定,步驟操作錯誤,1.到「差勤app下載安裝說明」pdf檔掃取QRCode2.點選下載按紐，啟動安裝程序3.點按「設定」4.點按「一般」5.點按「VPN與裝置管理」6.點按「Taipei Rapid Transit Corporation」7.點按信任「Taipei Rapid Transit Corporation」8.點按「信任」,差勤app下載安裝說明
廁所在哪   請告訴我廁所的位置  洗手間在哪裡  廁所往哪走  洗手間往哪走  我想上廁所,廁所在哪,請往出口一方向，廁所在藝文廊通道右手邊,中山站旅客問答集
站內有沒有廁所   車站內有設置廁所嗎  在站內是否有提供洗手間  請問一下，本站站內是否有廁所 我可以在這個車站裡用洗手間嗎  請問這裡有沒有供民眾使用的廁所,站內有沒有廁所,"站內沒有廁所，廁所位於站外。
請往出口一方向，廁所在藝文廊通道右手邊",中山站旅客問答集
有置物櫃嗎   這裡可以存放行李嗎  哪裡可以放東西  這個車站有無提供置物櫃的服務  哪裡可以存放行李,有置物櫃嗎,請往出口一方向，置物櫃在藝文廊通道右手邊,中山站旅客問答集
"有哺集乳室嗎   請問這個車站內是否設有哺集乳室  在這裡有無提供育嬰空間  這站是否有哺乳室可使用	為了方便哺乳，這裡有提供專用空間嗎	 我可以在哪裡餵寶寶",有哺集乳室嗎,"哺集乳室在往出口五通道，請洽詢問處索取通行票，並告知站務人員需要使用哺集乳室，站務人員會通知服務人
員開門",中山站旅客問答集
YOUBIKE位置   請告知YOUBIKE租借的具體位置  這附近的YOUBIKE點位在哪裡   YOUBIKE的站點在什麼地方  要如何找到最近的YOUBIKE站點  我要借YOUBIKE,YOUBIKE位置,YOUBIKE租借站位於出口二、出口三、出口五,中山站旅客問答集
哪裡可以充電   車站內可以充電的地方在哪  這裡有提供充電的地方嗎  哪裡可以充手機  車站哪個區域有提供充電服務  充電座在哪,哪裡可以充電,充電座位於詢問處左右兩邊的服務盒(會面點)內，請多加利用,中山站旅客問答集
行動電源租借站在哪   請告知行動電源租借站的明確位置  我可以在哪裡租借行動電源  車站內有提供行動電源租借服務嗎  如果我需要租用行動電源，該往哪個方向走  租借行動電源的機器在哪裡,行動電源租借站在哪,靠近出口一、出口四、出口五,中山站旅客問答集
花車在哪   請告知花車攤販的具體位置  車站內的花車攤位設在哪裡  花車的攤位位於車站的哪個地方  賣捷運紀念品的地方  車站裡賣商品的地方在哪,花車在哪,往出口一方向，花車位於通道上(目前因施工調整位置至R8出口附近),中山站旅客問答集
花車營業時間是幾點   請告知花車攤販的營業時間  車站內的花車攤位開門營業的時間為何  花車的攤位營業的時間是從幾點到幾點  賣捷運紀念品的地方幾點開始  車站裡賣商品的地方營業時間是如何,花車營業時間是幾點,花車營業時間為每日12:30至19:30,中山站旅客問答集
遺失物中心在哪   請告知本站的遺失物中心在哪裡  我想詢問一下遺失物品認領中心的位置  車站內設置有遺失物品認領處嗎  如果我有東西遺失在車站，可以到哪裡找  怎麼去遺失物中心,遺失物中心在哪,往台北車站方向走中山地下街R1出口,中山站旅客問答集
哪個出口有電扶梯上樓   請告知哪一個出口設有電扶梯可以上樓  如果要上樓，應該從哪個出口搭乘電扶梯 車站內哪個出入口有設置電扶梯通往上層樓面  我想搭乘電扶梯上樓，該從哪個出口出站  電扶梯到出口的位置,哪個出口有電扶梯上樓,出口四有電扶梯提供搭乘至出口,中山站旅客問答集
哪邊有電梯可以出站   請告知哪個方向或出口有設置電梯可以使用  如果我想搭乘電梯出車站，該往哪個方向走  車站的哪一個出入口設置了可以使用的電梯  哪裡有無障礙設施  怎麼搭電梯出站,哪邊有電梯可以出站,出口四有電梯提供搭乘,中山站旅客問答集
無障礙電梯怎麼走   請告知無障礙電梯的具體位置及前往方式  如何走可以到達無障礙電梯的位置 無障礙電梯設置在車站的哪個位置  車站的無障礙電梯在哪  請指示一下如何走能找到無障礙電梯,無障礙電梯怎麼走,出口四有電梯提供搭乘,中山站旅客問答集
紅線月台怎麼走   請告知如何前往紅線路線的月台  搭乘紅線列車的月台在哪個方向  我該如何走才能找到紅線路線的月台  前往紅線路線月台的路線為何  請問到淡水站或大安站或台北車站或象山站月台的位置及前往方式,紅線月台怎麼走,刷票進站後，請依照紅色R指標下月台層搭車；電梯請搭乘至B2,中山站旅客問答集
綠線月台怎麼走   請告知如何前往綠線路線的月台  搭乘綠線列車的月台在哪個方向  我該如何走才能找到綠線路線的月台  前往綠線路線月台的路線為何  請問到松山站或西門站或新店站或台電大樓站月台的位置及前往方式,綠線月台怎麼走,刷票進站後，請依照綠色G指標下月台層搭車；電梯請搭乘至B4,中山站旅客問答集
如何到穿越至綠線的出口   請告知如何走到可以轉乘綠線的出口  我想到對面出口  有穿越通道嗎  綠線出口怎麼走  可以穿越到綠線的出口嗎,如何到穿越至綠線的出口,請洽詢問處拿取臨時通行票，刷通行票進出站,中山站旅客問答集
如何到對面出口   請告知如何走到對面的出口  想要到對面的出口，該怎麼走?  我該如何走才能到對面的另一個出口?  請指示一下前往車站對面出口的路線  有穿越通道嗎,如何到對面出口,請洽詢問處拿取臨時通行票，刷通行票進出站,中山站旅客問答集
走錯出口，要去另一邊出口有沒有連通道   如果走錯出口想到另一側出口，請問有無連通道可走  我走錯出口了，想去另一邊出口，有沒有內部連通道可以走  車站內部不同出口之間是否有連通道可以走動 請問當走錯出口時，是否有通道可以連到另一側出口  如果我出了錯誤的出口，想要到對面出口，有沒有內部走道相連,走錯出口，要去另一邊出口有沒有連通道,請洽詢問處拿取臨時通行票，刷通行票進出站,中山站旅客問答集
出錯站要重新搭車   如果錯過目的地站點是否需要重新購票搭車  請問如果出錯站了，是否需要重新買票再次搭車  當搭車出錯站時，是否必須重新買票再次乘車  我出站了但我還要搭車  我剛出站走錯了需要重新購票搭車嗎,出錯站要重新搭車,請洽詢問處處理，並告知出錯站還要繼續搭車以及目的地,中山站旅客問答集
出錯站怎麼辦   如果搭車出了錯站，該怎麼處理  請問當錯過目的地站點時，我應該如何因應  我出錯站了，怎麼補救  我搭車時出了錯站，該怎麼做  我出站了但我還要搭車,出錯站怎麼辦,請洽詢問處處理，並告知出錯站還要繼續搭車以及目的地,中山站旅客問答集
往淡水末班車是幾點   請告知開往淡水方向的最後一班車開車時間  前往淡水的列車，末班車是幾點的班次  最晚可以搭車去淡水的末班時間是什麼時候  末班車開往淡水的時間是在幾點   請問一下最後一班開往淡水的列車是幾點開車,往淡水末班車是幾點,請參考網頁https://web.metro.taipei/img/ALL/TTPDF/053.pdf,中山站旅客問答集
中山站的第一班車是幾點   請告知中山站第一班車的開車時間  中山站的第一班車是在幾點發車  想在中山站搭第一班車，請問是幾點開車  請問中山站開車的第一班車時間是什麼時候  我想在中山站搭第一班車，要幾點到車站,中山站的第一班車是幾點,請參考網頁https://web.metro.taipei/img/ALL/TTPDF/053.pdf,中山站旅客問答集
請問地下街在哪裡   請告知車站地下街怎麼走  這個車站有地下街嗎  地下街的入口在哪  我該怎麼走才能找到地下街區域  請指示一下如何前往地下街的路線,請問地下街在哪裡,往左或往右都是地下街,中山站旅客問答集
往台北車站的方向是哪一邊   如果我要前往台北車站該怎麼坐車  去台北車站的月台在哪  我想搭車前往台北車站，車在哪  往台北車站,往台北車站的方向是哪一邊,往出口一方向直走地下街可以到或進站於二月台搭車,中山站旅客問答集
往雙連站的方向是哪一邊   往雙連站怎麼走  如果我要前往雙連站該怎麼坐車  去雙連站的月台在哪  想搭車去雙連站，車在哪  往雙連站,往雙連站的方向是哪一邊,往出口四方向直走地下街可以到或進站於一月台搭車,中山站旅客問答集
如何步行去北車   請告知如何步行前往台北車站  應該怎麼走到台北車站  從這裡走到台北車站要多久  請問往台北車站應該沿哪條路走  我可以請教一下如何到台北車站嗎,如何步行去北車,往出口一方向直走地下街可以到,中山站旅客問答集
如何步行去雙連   請告知如何步行前往雙連站  應該怎麼走到雙連站  從這裡走到雙連站要多久    請問往雙連站應該沿哪條路走  我可以請教一下如何到雙連站嗎,如何步行去雙連,往出口四方向直走地下街可以到,中山站旅客問答集
誠品生活南西怎麼走   請告知如何走路前往誠品生活南西店  前往誠品生活南西店該沿哪條路線走  我想步行到誠品生活南西店，該怎麼走  誠品怎麼走  請問如何走路到誠品生活南西店嗎,誠品生活南西怎麼走,出口二,中山站旅客問答集
誠品書街(R79)在哪個方向   請告知誠品書街(R79)的具體方位  誠品書街位於本站的哪個方向  我要如何走才能找到誠品書街  前往R79怎麼走  R79在哪,誠品書街(R79)在哪個方向,往出口四方向直走地下街,中山站旅客問答集
林森北路怎麼走   請告知如何走路到林森北路  我想步行到林森北路，該怎麼走  前往林森北路該沿哪條路線走  林森北路在哪  可以告知一下如何走路到林森北路嗎,林森北路怎麼走,出口二或出口三出去直行,中山站旅客問答集
寧夏夜市怎麼走   請告知如何走路到寧夏夜市  我想步行到寧夏夜市，該怎麼走  前往寧夏夜市該沿哪條路線走  寧夏夜市在哪  可以告知一下如何走路到寧夏夜市嗎,寧夏夜市怎麼走,出口五出去後右轉,中山站旅客問答集
長安東路怎麼走   請告知如何走路前往長安東路  我想步行到長安東路，該怎麼走  前往長安東路該沿哪條路線走  長安東路在哪  可以告知一下如何走路到長安東路嗎,長安東路怎麼走,往出口一方向地下街R4出口,中山站旅客問答集
長春路怎麼走   請告知如何走路前往長春路  我想步行到長春路，該怎麼走  前往長春路該沿哪條路線走  長春路在哪  可以告知一下如何走路到長春路嗎,長春路怎麼走,往出口四方向地下街R9出口,中山站旅客問答集
心中山在哪個出口   請告知心中山位於本站的哪一個出口  心中山要從哪一個出口出站  我該從車站的哪一個出口才能到心中山  心中山在哪  請問心中山怎麼走,心中山在哪個出口,出口四,中山站旅客問答集
"新光三越在哪個出口   請告知新光三越百貨位於本站的哪一個出口  前往新光三越該從哪一個出入口出站  我該從車站的哪一個出口走才能到新光三越	  新光三越在哪  可以告知新光三越怎麼走",新光三越在哪個出口,新光三越本館請走出口二 ；新光三越三館請走出口四,中山站旅客問答集
晶華酒店在哪   請告知晶華酒店的具體位置  晶華酒店距離車站哪個出口比較近  我該如何走到晶華酒店  前往晶華酒店該朝哪個方向走  晶華酒店在哪,晶華酒店在哪,出口三直走，晶華酒店位於中山北路二段上,中山站旅客問答集
南京西路幾號出口   請告知可以前往南京西路的出口編號  如果我想走到南京西路，該從哪一個出口出站  前往南京西路應該走哪一個出口  我要去南京西路，請問該從幾號出口走    可以告知一下南京西路的出口嗎,南京西路幾號出口,本站六個出口上去皆為南京西路,中山站旅客問答集
